WebsiteUrl,Dimension,Sessions,Range
https://d32015.swcb.gov.tw,ga:mobilePageSessions,7699,7daysAgo
http://www.penghu.gov.tw,ga:tabletPageSessions,81,7daysAgo
https://event.penghu.gov.tw/booking/,ga:desktopPageSessions,4415,today
https://event.penghu.gov.tw/taihwa/index.jsp,ga:mobilePageSessions,501,today
http://event.penghu.gov.tw/yacht,ga:tabletPageSessions,4,today
https://ttcnpc.ttshb.gov.tw,ga:desktopPageSessions,1249,30daysAgo
https://www.voh.com.tw,ga:mobilePageSessions,446,30daysAgo
https://aam.ly.gov.tw,ga:tabletPageSessions,60,30daysAgo
http://www.cga.gov.tw/,ga:desktopPageSessions,416,7daysAgo
https://www.nmh.gov.tw,ga:mobilePageSessions,125,7daysAgo
https://urbanrenew.kcg.gov.tw,ga:tabletPageSessions,20,7daysAgo
https://wq.epa.gov.tw/,ga:desktopPageSessions,29,today
https://data.epa.gov.tw,ga:mobilePageSessions,1,today
https://lng-eservice.cpc.com.tw,ga:desktopPageSessions,6107,30daysAgo
http://pdmcb.nfa.gov.tw,ga:mobilePageSessions,2978,30daysAgo
http://rdrc.mnd.gov.tw/,ga:tabletPageSessions,80,30daysAgo
https://cpark.taichung.gov.tw/,ga:desktopPageSessions,2378,7daysAgo
https://data.swcb.gov.tw/,ga:mobilePageSessions,1235,7daysAgo
http://www.forest.gov.tw,ga:tabletPageSessions,43,7daysAgo
http://168.motc.gov.tw/,ga:desktopPageSessions,171,today
https://www.yltb.gov.tw,ga:mobilePageSessions,73,today
https://online.archives.gov.tw,ga:tabletPageSessions,2,today
https://near.archives.gov.tw,ga:desktopPageSessions,8037,30daysAgo
http://www.wra.gov.tw,ga:mobilePageSessions,6477,30daysAgo
http://www.cksmh.gov.tw/,ga:tabletPageSessions,77,30daysAgo
http://www.disasterlearning.gov.taipei/,ga:desktopPageSessions,2466,7daysAgo
https://www.ncl.edu.tw/,ga:mobilePageSessions,1043,7daysAgo
https://eland.kcg.gov.tw/,ga:tabletPageSessions,30,7daysAgo
https://803.mnd.gov.tw,ga:desktopPageSessions,179,today
https://www.immigration.gov.tw,ga:mobilePageSessions,60,today
https://www.afmc.gov.tw,ga:tabletPageSessions,2,today
https://fs.mnd.gov.tw,ga:desktopPageSessions,119692,30daysAgo
https://oswc.swcb.gov.tw,ga:mobilePageSessions,110198,30daysAgo
https://www.ncc.gov.tw,ga:tabletPageSessions,5856,30daysAgo
https://www.npa.gov.tw,ga:desktopPageSessions,33745,7daysAgo
https://www.tacp.gov.tw/,ga:mobilePageSessions,25304,7daysAgo
https://army.mnd.gov.tw/,ga:tabletPageSessions,1536,7daysAgo
http://www.tph.moj.gov.tw,ga:desktopPageSessions,2263,today
https://kids.hakka.gov.tw,ga:mobilePageSessions,1455,today
https://cyhtax.cyhg.gov.tw,ga:tabletPageSessions,90,today
https://www.ocacnews.net/,ga:desktopPageSessions,11245,30daysAgo
